Mass,Hex,HexNAc,Fuc,NeuAc,Class,1D_2_compositional,2D_2_compositional,3D_2_compositional,4D_2_compositional,5D_2_compositional,6D_2_compositional,7D_2_compositional,,
1665.62386,3,5,1,0,C-F,0.110429303,0.069612791,0.197073785,0,0.11769215,0.072195694,0,,3510
3244.14276,7,6,0,3,C-S,0.100510848,0,0.217309243,0,0,0,0,,7603
1259.46506,3,3,1,0,C-F,0.099222987,0.160940803,0.381031958,0,0.062753571,0.290736598,0.046584177,,3310
1681.61876,4,5,0,0,CH,0.098257091,0.098827518,0.027343389,0,0,0.169639545,0,,4500
1745.62346,6,3,1,0,H-F,0.095921641,0,0.155079598,0,0.135716863,0,0.118581331,,6310
1316.48656,3,4,0,0,C,0.095191212,0.186851713,0.147300395,0,0,0,0,,3400
2662.97236,7,6,2,0,C-F,0.087372741,0.154922584,0,0,0,0.082937724,0,,7620
1566.55536,4,3,0,1,C-S,0.082975752,0,0.145715559,0,0,0,0.234216775,,4301
1915.69266,4,4,1,1,C-FS,0.076733469,0,0.263611087,0,0,0,0.240764026,,4411
2735.98876,8,7,0,0,C,0.076070316,0,0,0,0,0.175269741,0,,8700
3539.29466,9,8,3,0,C-F,0.076065511,0,0,0,0,0,0,,9830
1405.52296,3,3,2,0,C-F,0.071582023,0,0.058267555,0,0,0,0,,3320
2028.70246,9,2,1,0,HM-F,0.063624194,0,0,0,0,0,0,,9210
1868.70326,3,6,1,0,C-F,0.058765881,0,0.08007792,0,0,0,0,,3610
1567.57576,4,3,2,0,CH-F,0.058357417,0,0,0,0,0,0,,4320
2384.83576,6,4,0,2,H-S,0.056877338,0,0.160747671,0,0,0,0,,6402
1478.53936,4,4,0,0,CH,0.056151715,0,0,0,0,0,0,,4400
2036.71886,6,3,1,1,H-FS,0.051759531,0,0.136762625,0,0,0,0.16159428,,6311
1722.64536,3,6,0,0,C,0.042350455,0,0,0,0,0,0,,3600
2573.93596,7,7,0,0,C,0.030716454,0,0,0,0,0,0,,7700
3755.33286,8,7,1,3,C-FS,0,0,0.436165589,3.996062096,0,0,0,,8713
3463.24216,6,5,4,3,C-FS,0,0,0.078693671,0,0,0,0,,6543
1769.63476,4,4,0,1,C-S,0,0,0.023009915,0,0,0,0,,4401
3829.36966,9,8,1,2,C-FS,0,0,0.511417504,0,0,0,0,,9812
2809.03026,7,6,3,0,C-F,0,0.14781085,0,0,0,0,0,,7630
3612.33616,8,7,6,0,C-F,0,0,0.051685917,0,0,0.06376635,0,,8760
1519.56596,3,5,0,0,C,0,0,0.016511689,0,0,0,0,,3500
2938.07286,6,6,3,1,C-FS,0,0,0.032685757,0,0,0,0,,6631
3027.08416,8,7,0,1,C-S,0,0,0.190367028,0,0,0,0,,8701
3756.35326,8,7,3,2,C-FS,0,0,0.119025567,0,0,0,0,,8732
3011.08926,7,7,1,1,C-FS,0,0,0,0,0,0.203388819,0,,7711
1113.40716,3,3,0,0,C,0,0,0.012025292,0,0,0,0,,3300
2530.89366,6,4,1,2,H-FS,0,0,0.033645,0,0,0,0,,6412
3903.43156,8,7,6,1,C-FS,0,0,0.044722965,0,0,0,0,,8761
3174.16246,8,7,3,0,C-F,0,0,0.040588092,0,0,0,0,,8730
2385.85616,6,4,2,1,H-FS,0,0,0.056273601,0,0,0,0.046840341,,6421
2879.01056,6,5,0,3,C-S,0,0,0.229193529,0,0,0,0.067702639,,6503
2093.74036,6,4,0,1,H-S,0,0,0.230085247,0,0,0,0,,6401
