Mass,Hex,HexNAc,Fuc,NeuAc,Class,HEPG2_DMEM_P4_08_compositional,HEPG2_DMEM_P6_NT_13_compositional,HEPG2_DMEM_P6_ins_14_compositional,HEPG2_EMEM_P5_06_compositional,HEPG2_EMEM_P7_NT_17_compositional,HEPG2_EMEM_P7_ins_16_compositional,PNT2_P10_DHTT_r04_compositional,PNT2_P10_DHT_r03_compositional,PNT2_P10_NT_r02_compositional,PNT2_P11_Chol_r16_compositional,PNT2_P11_NT_r17_compositional,PNT2_P14_DHTT2_r27_compositional,PNT2_P14_DHTT_r26_compositional,PNT2_P14_NT_r25_compositional,PNT2_P15_DDHTT_r12_compositional,PNT2_P16_Chol_r22_compositional,PNT2_P16_NT_r23_compositional,PNT2_P17_Chol_r19_compositional,PNT2_P17_NT_r20_compositional,PNT2_p13_DHTTx5_r07_compositional,PNT2_p13_NT_r06b_compositional
2368.84086,5,4,1,2,C-FS,14.4694966851,16.6247238977,11.1021492047,12.9056990307,9.82206739576,17.779230955,4.50093542215,4.47312359503,5.40653664297,3.54857198631,4.11107397145,4.1779188029,4.58107682269,3.93080338186,3.36350983614,4.10344052889,5.00954144596,3.70339934897,3.76263904777,3.16039677526,3.75643027671,
2222.78296,5,4,0,2,C-S,5.76291438943,10.6425742415,8.3385653707,5.28989612776,12.9966120366,12.4743701253,1.21283003273,1.02290627594,0.85723855071,0.608708975269,0.767845127188,0.653579372534,1.30668095947,1.0068854881,1.00941630989,1.07704773743,0.805783786873,0.86486760518,0.819296002065,0.759542925435,0.867467762632,
3171.12636,6,5,2,3,C-FS,5.73039783753,1.29343405872,1.66443501703,7.86926958022,2.73549044508,2.8068970967,0.22834043158,0.147393511359,0,0.249205849194,0.0996799592176,0.247309256094,0.227782375621,0.069348941251,0.201299658484,0,0.170894468032,0.0354949519937,0.102233204599,0.307402172276,0.42249288387,
2880.03096,6,5,2,2,CH-FS,5.30413094035,2.80872792046,5.22347795131,2.40216422178,3.63104081232,4.12709640889,1.04234324354,1.20768454817,0.909527125959,0.847406342158,1.25566287995,0.729137075796,1.60390280122,1.01441604945,0.928775400623,0.870305006462,1.0003941445,0.96448130688,0.937685164409,0.911748815956,1.03430518323,
2733.97306,6,5,1,2,CH-FS,4.77027972956,5.76987090681,5.62166648266,4.08643723406,5.80975912052,5.5338204765,1.12424206537,1.17849915173,1.14229723527,0.785169958466,0.992223246749,1.19019861133,1.77127531225,1.03973394462,1.32225826564,1.48627822382,1.12987849447,0.939134702825,1.25853523281,1.22189599579,1.18250715859,
3025.06846,6,5,1,3,C-FS,4.64512666089,2.33133448099,2.3516809821,8.44384852889,3.63476104267,3.37992409235,1.61907774873,3.12700602855,3.73147671497,2.76604353422,2.44619321976,1.70338120469,2.40235294333,2.27876603254,3.15993724613,2.4389572036,1.9974580338,2.33045654711,1.96538069332,3.35215033424,3.10045911516,
3391.22106,7,6,3,2,C-FS,4.52511517745,3.06206832832,3.66066308474,1.15629149895,2.79865466763,2.153084736,0,0.213226004518,0.25816650624,0.177270013028,0.167576317057,0,0.548456777036,0.0895241844534,0.0648492201843,0.0636903466364,0.0642419501216,0.0566035681733,0.130439718994,0.115878882763,0.298094769983,
3245.16316,7,6,2,2,C-FS,4.41951433336,3.89602713417,3.75488061899,3.37157800044,1.12529723128,1.7694916537,0.162769991503,0.412527314839,0.190333834493,0.198394528596,0.0714899856665,0,0.125168275471,0.314582751847,0.0450929096652,0.47159104177,0.351716274446,0.237869694268,0.465795125279,0.340355599082,0.15999614524,
2077.74546,5,4,1,1,CH-FS,2.63350420859,3.16597048708,3.57690804143,1.5162130616,3.93714839273,2.59390496822,5.09010581196,4.81642120195,5.7792978318,4.16445399406,4.05716834529,5.92972312207,6.48795936191,5.82463911984,4.79572093386,6.24880382661,5.91357201139,5.35846412486,5.41945441102,4.15967732545,4.3386001284,
3537.27896,7,6,4,2,C-FS,2.58384801023,1.69477443237,1.47009115937,2.0468791098,1.17813754293,1.22690401595,0,0.101550543663,0,0.100308738388,0,0,0,0,0,0,0,0.121976924936,0,0.00732328009173,0.0820937648307,
3682.31646,7,6,3,3,C-FS,2.06735871797,0,0.671157865913,3.26260644496,0.706794863076,0.824023655341,0,0,0.11408666769,0.0290969873455,0,0,0.151146683131,0.120623487159,0.0109897106689,0.0798528364335,0,0,0.112557831853,2.67511944661,0.0149130771374,
2954.06776,7,6,2,1,C-FS,2.00967911523,1.73730915484,2.30209390649,0.979920290785,0.835508674938,1.7641589382,0.453554989832,0.37720156088,0.451689746704,0.616899974155,0.531168532575,0.482808078904,1.39669022396,0.626099244041,0.36231023093,0.550136666059,0.903047770696,0.447288074701,0.582674486265,0.451902037522,0.530622699482,
2409.86746,4,5,1,2,C-FS,1.75880186215,2.01055433975,2.33312977881,0.879058294837,1.64844239806,1.28625812644,0.34913424185,0.486594369126,0.444141268494,0.435463560255,0.356713192321,0,0.360064512842,0.435006518713,0.319214947238,0.402191148997,0.53512159515,0.514761406267,0.557873406978,0.366950832665,0.26270661574,
3756.35326,8,7,3,2,C-FS,1.73266482744,0,1.42886647435,1.37625158956,0.323991492011,0.851032651261,0,0,0,0,0.0699458014926,0,0,0,0,0.048922414523,0,0,0.0711984562289,0.0945322814512,0.113102209716,
2588.93556,6,5,2,1,CH-FS,1.69717693013,0.960652537883,0.495817540848,0.35599300678,1.56073262456,0.618530338999,0.817703653146,0.881225628852,1.22230487187,1.01324649683,1.20013450056,1.76005201729,1.8057265977,1.13856695799,0.406724471804,1.18511555963,0.495771226521,0.952219867493,0.762318667609,0.963935521653,0.969999144841,
3026.08886,6,5,3,2,CH-FS,1.68326949005,1.33422360956,1.2360677584,0.237225436529,0,1.01302196718,2.46471907846,0.234920370107,0.18350498367,0.353453555851,0.544799659721,0,0.111323394874,0.190824296597,0.366452361711,0.159772816036,0.203301192458,0.135548061288,0.445124206385,0.157781701022,0.453347384666,
1931.68756,5,4,0,1,CH-S,1.6635829761,2.22590401834,2.50962183312,1.08009260982,1.75835763603,1.84889704674,1.60996468451,1.76157720634,1.92786872501,1.13050855464,1.79425800161,2.06349463352,2.65824758008,2.24147248939,1.69693030651,2.80111022716,2.80369496555,2.33615900836,2.18465574179,1.42070922523,1.53320924242,
2808.00986,7,6,1,1,C-FS,1.53970025407,1.79280684035,1.99258662672,1.34973416273,1.91166952401,1.95945475485,0.691263634969,0.722914541299,0.780787018426,0.639250022634,0.660467817818,1.3884847667,1.24873288151,0.813169032047,0.633240421645,0.981767420934,1.04206516416,0.724174540042,0.845336593706,0.619015875181,0.812234675757,
3901.39076,8,7,2,3,C-FS,1.50460750711,0,0,1.15098879435,0.786915656455,0.640541828398,0.289685622154,0,0.110768989767,0,0.116811035699,0,0.204270330407,0,0.0227060656276,0,0.212466096606,0,0.194964512782,0.121298216719,0.148755660941,
2514.89876,5,4,2,2,C-FS,1.46223380623,1.20083152825,1.23887296033,1.05999438343,0.578745766178,0.802071720838,0.183409456413,0.155673534892,0.291703461512,0.316606734066,0.311535379725,0.321452343921,0,0.451785934666,0.333389123918,0.388491565719,0.284749570073,0.192857960774,0.36925810667,0.344720939042,0.334665214837,
2686.98366,5,7,1,1,C-FS,1.41281068484,0,0,0.665413302491,0.105963172436,0,0,0,0,0,0,0,0.672476523799,0,0,0,0,0,0,0,0,
3100.12566,7,6,3,1,C-FS,1.41167617114,0.492733764104,2.87971083157,0.0846532871167,2.7355502151,0.336944583387,0.338489105805,0.377187628853,0.434277372861,0.553244876848,0.547660782179,0.725425611645,0.540926516432,0.50826601823,0.263047816217,0.410032045117,0,0.530092796326,0.39103236178,0.504914245897,0.640954428726,
1890.66096,6,3,0,1,H-S,1.39855131399,1.21380676682,1.56719181783,0.461034705102,1.05384308941,0.962170594216,1.01956616805,0.739197414357,1.37776612846,1.22533150905,0.919715489596,1.56474382176,1.31941086731,1.13234243925,1.08739790034,1.50969752359,0.870697280699,0.916576697415,0.940689292563,0.97689729177,1.03837546497,
3099.10526,7,6,1,2,C-FS,1.38285797955,2.48155631828,0.12204909054,2.02606257839,0.927146968207,2.11026136295,0.571783784994,0.989324225131,0.837004193942,0.681536045821,0.927078014687,0.416769030516,0.914398157229,1.02943757747,0.842501429679,0.980701448849,1.12137532569,0.908346658751,1.18755342044,0.875104409752,0.545724614703,
2587.91516,6,5,0,2,CH-S,1.36772186886,1.29037949688,0.731405088967,1.6258170378,0.705880200795,0,0.131647651417,0.389260096745,0,0.187034544108,0.280757462287,0,0.265447406079,0.239316733006,0.267657892636,0.305008838834,0.247846706882,0.321130875125,0.32202974579,0.162125703271,0.161622307976,
